Year,Number
1958,16
1959,37
1960,42
1961,70
1962,70
1963,100
1964,64
1965,140
1966,57
1967,55
1968,85
1969,117
1970,91
1971,122
1972,82
1973,118
1974,150
1975,126
1976,86
1977,113
1978,147
1979,103
1980,141
1981,122
1982,127
1983,148
